[HIGH] 10.0.1.138 | UDP | Risk=58.2 | ML=Benign | Normal
[HIGH] 10.0.1.138 | UDP | Risk=58.6 | ML=Benign | Normal
[HIGH] 10.0.1.138 | UDP | Risk=59.0 | ML=Benign | Normal
[HIGH] 10.0.1.138 | UDP | Risk=59.4 | ML=Benign | Normal
[HIGH] 10.0.1.138 | UDP | Risk=59.8 | ML=Benign | Normal
[HIGH] 10.0.1.138 | UDP | Risk=60.2 | ML=Benign | Normal
[HIGH] 10.0.1.138 | UDP | Risk=60.2 | ML=Benign | Normal
[LOW] 172.64.155.209 | UDP | Risk=0.73 | ML=Benign | Normal
[LOW] 172.64.155.209 | UDP | Risk=1.47 | ML=Benign | Normal
[LOW] 172.64.155.209 | UDP | Risk=2.2 | ML=Benign | Normal
[LOW] 172.64.155.209 | UDP | Risk=2.93 | ML=Benign | Normal
[LOW] 172.64.155.209 | UDP | Risk=3.72 | ML=Benign | Normal
[LOW] 172.64.155.209 | UDP | Risk=4.46 | ML=Benign | Normal
[LOW] 104.208.16.95 | TCP | Risk=0.73 | ML=Benign | Normal
[LOW] 104.208.16.95 | TCP | Risk=1.47 | ML=Benign | Normal
[MEDIUM] 10.0.1.138 | TCP | Risk=20.13 | ML=Benign | Normal
[LOW] 172.64.148.235 | TCP | Risk=1.13 | ML=Benign | Normal
[LOW] 10.0.1.138 | TCP | Risk=14.47 | ML=Benign | Normal
[LOW] 172.64.155.209 | UDP | Risk=4.2 | ML=Benign | Normal
[LOW] 172.64.155.209 | UDP | Risk=4.61 | ML=Benign | Normal
[LOW] 172.64.155.209 | UDP | Risk=5.02 | ML=Benign | Normal
[LOW] 172.64.155.209 | UDP | Risk=5.43 | ML=Benign | Normal
[LOW] 172.64.155.209 | UDP | Risk=5.78 | ML=Benign | Normal
[LOW] 172.64.155.209 | UDP | Risk=6.52 | ML=Benign | Normal
[LOW] 10.0.1.138 | UDP | Risk=2.07 | ML=Benign | Normal
[LOW] 104.208.16.95 | TCP | Risk=1.53 | ML=Benign | Normal
[LOW] 10.0.1.138 | UDP | Risk=2.47 | ML=Benign | Normal
[LOW] 8.8.8.8 | UDP | Risk=0.45 | ML=Benign | Normal
[LOW] 10.0.1.138 | TCP | Risk=3.2 | ML=Benign | Normal
[LOW] 148.113.17.90 | TCP | Risk=0.73 | ML=Benign | Normal
[LOW] 10.0.1.138 | TCP | Risk=3.93 | ML=Benign | Normal
